[0]	validation_0-auc:0.78651
[1]	validation_0-auc:0.79207
[2]	validation_0-auc:0.79650
[3]	validation_0-auc:0.79630
[4]	validation_0-auc:0.79830
[5]	validation_0-auc:0.79895
[6]	validation_0-auc:0.79985
[7]	validation_0-auc:0.79949
[8]	validation_0-auc:0.79859
[9]	validation_0-auc:0.79832
[10]	validation_0-auc:0.80108
[11]	validation_0-auc:0.80056
[12]	validation_0-auc:0.80199
[13]	validation_0-auc:0.80229
[14]	validation_0-auc:0.80345
[15]	validation_0-auc:0.80393
[16]	validation_0-auc:0.80364
[17]	validation_0-auc:0.80496
[18]	validation_0-auc:0.80549
[19]	validation_0-auc:0.80626
[20]	validation_0-auc:0.80659
[21]	validation_0-auc:0.80665
[22]	validation_0-auc:0.80694
[23]	validation_0-auc:0.80686
[24]	validation_0-auc:0.80706
[25]	validation_0-auc:0.80768
[26]	validation_0-auc:0.80761
[27]	validation_0-auc:0.80771
[28]	validation_0-auc:0.80790
[29]	validation_0-auc:0.80868
[30]	validation_0-auc:0.80902
[31]	validation_0-auc:0.80861
[32]	validation_0-auc:0.80890
[33]	validation_0-auc:0.80959
[34]	validation_0-auc:0.80961
[35]	validation_0-auc:0.80943
[36]	validation_0-auc:0.80978
[37]	validation_0-auc:0.80996
[38]	validation_0-auc:0.81026
[39]	validation_0-auc:0.80988
[40]	validation_0-auc:0.81050
[41]	validation_0-auc:0.81129
[42]	validation_0-auc:0.81200
[43]	validation_0-auc:0.81187
[44]	validation_0-auc:0.81207
[45]	validation_0-auc:0.81193
[46]	validation_0-auc:0.81139
[47]	validation_0-auc:0.81160
[48]	validation_0-auc:0.81210
[49]	validation_0-auc:0.81219
[50]	validation_0-auc:0.81218
[51]	validation_0-auc:0.81278
[52]	validation_0-auc:0.81254
[53]	validation_0-auc:0.81325
[54]	validation_0-auc:0.81378
[55]	validation_0-auc:0.81420
[56]	validation_0-auc:0.81443
[57]	validation_0-auc:0.81478
[58]	validation_0-auc:0.81505
[59]	validation_0-auc:0.81537
[60]	validation_0-auc:0.81553
[61]	validation_0-auc:0.81563
[62]	validation_0-auc:0.81586
[63]	validation_0-auc:0.81596
[64]	validation_0-auc:0.81637
[65]	validation_0-auc:0.81642
[66]	validation_0-auc:0.81682
[67]	validation_0-auc:0.81704
[68]	validation_0-auc:0.81744
[69]	validation_0-auc:0.81788
[70]	validation_0-auc:0.81810
[71]	validation_0-auc:0.81802
[72]	validation_0-auc:0.81797
[73]	validation_0-auc:0.81778
[74]	validation_0-auc:0.81792
[75]	validation_0-auc:0.81829
[76]	validation_0-auc:0.81854
[77]	validation_0-auc:0.81827
[78]	validation_0-auc:0.81837
[79]	validation_0-auc:0.81842
[80]	validation_0-auc:0.81872
[81]	validation_0-auc:0.81877
[82]	validation_0-auc:0.81858
[83]	validation_0-auc:0.81880
[84]	validation_0-auc:0.81912
[85]	validation_0-auc:0.81898
[86]	validation_0-auc:0.81870
[87]	validation_0-auc:0.81863
[88]	validation_0-auc:0.81897
[89]	validation_0-auc:0.81898
[90]	validation_0-auc:0.81883
[91]	validation_0-auc:0.81864
[92]	validation_0-auc:0.81860
[93]	validation_0-auc:0.81818
[94]	validation_0-auc:0.81835
[95]	validation_0-auc:0.81830
[96]	validation_0-auc:0.81819
[97]	validation_0-auc:0.81832
[98]	validation_0-auc:0.81802
[99]	validation_0-auc:0.81827
[100]	validation_0-auc:0.81830
[101]	validation_0-auc:0.81801
[102]	validation_0-auc:0.81839
[103]	validation_0-auc:0.81806
[104]	validation_0-auc:0.81819
[105]	validation_0-auc:0.81864
[106]	validation_0-auc:0.81884
[107]	validation_0-auc:0.81847
[108]	validation_0-auc:0.81826
[109]	validation_0-auc:0.81837
[110]	validation_0-auc:0.81827
[111]	validation_0-auc:0.81842
[112]	validation_0-auc:0.81831
[113]	validation_0-auc:0.81807
[114]	validation_0-auc:0.81818
